dacap;6;70;43;232;484;374;10;3;2;6;5;23;19;3;10;8;4;2;5;2;4;9;13;2;3;2;34;2;7;22;16;12;4;7;14;50;5;6;3;2;18;2;2;23;4;5;9;10;58;3;14;23;4;2;1721;0.04125508425334108
Gasparoken;2;21;218;3;78;3;1181;71;21;1184;1599;0.006253908692933083
RowanFuture;90;105;91;0.02197802197802198
martincapello;105;250;127;62;56;1337;601;0.009983361064891847
iiviigames;1184;1;1.0
thkwznk;8;27;204;1153;240;0.016666666666666666
dogboydog;931;1;1.0
spy653;912;1;1.0
iacore;807;1;1.0
behreajj;105;22;6;800;135;0.037037037037037035
jestarray;792;1;1.0
JohnDevlopment;693;1;1.0
jgollenz;31;2;8;568;43;0.11627906976744186
q-uint;363;1;1.0
lillydinhle;240;1;1.0
sprngr;59;1;1.0
edwardrowe;410;1;1.0
