id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
149423786;269463419;2017-10-30 02:21:57;matiasgarciaisaia;closed;2017-11-07 13:50:51;True;2017-11-07 13:50:51;24
128378112;239789865;2017-06-30 14:08:20;Sija;closed;2017-07-04 18:26:34;True;2017-07-04 18:26:33;20
128376760;239788025;2017-06-30 14:01:49;Sija;closed;2017-06-30 14:06:53;False;NA;19
119539145;227180113;2017-05-08 21:28:20;matiasgarciaisaia;closed;2017-06-29 21:00:22;True;2017-06-29 21:00:22;18
118832408;226084286;2017-05-03 19:05:55;matiasgarciaisaia;closed;2017-06-29 21:01:22;False;NA;17
80385885;169830036;2016-08-08 01:57:57;steakknife;closed;2017-07-03 22:34:50;False;NA;13
65508562;146387306;2016-04-06 17:54:40;spalladino;closed;2016-04-06 18:02:34;True;2016-04-06 18:02:34;10
65508485;146387192;2016-04-06 17:54:07;spalladino;closed;2016-04-06 18:02:45;True;2016-04-06 18:02:45;9
65508193;146386771;2016-04-06 17:51:58;spalladino;closed;2016-04-06 17:55:00;True;2016-04-06 17:55:00;8
48021334;112050557;2015-10-18 23:37:29;cielavenir;closed;2017-08-23 19:00:26;True;2017-08-23 19:00:26;7
45850202;108037716;2015-09-24 01:18:14;jhass;closed;2018-08-01 16:14:35;False;NA;4
44292418;105057211;2015-09-06 00:00:59;jhass;closed;2015-09-18 19:11:52;True;2015-09-18 19:11:52;3
