ysbaddaden;2;7;3;2;6;2;10;35;11;11;7;5;3;4;3;2;3;16;2;46;15;24;4;12;12;7;9;3;13;16;6;23;22;74;35;5;3;2;3;50;5;29;48;193;46;19;15;33;58;63;13;39;13;8;73;2;29;28;64;2;2;8;4;4;7;80;6;7;20;8;110;12;2;93;1608;0.07027363184079602
jbye;1684;1;1.0
jessedoyle;85;1589;86;0.023255813953488372
luislavena;229;274;1775;80;780;2359;0.00211954217888936
sstarr;1572;1;1.0
asterite;202;91;37;1222;331;0.012084592145015106
jhass;290;1255;291;0.006872852233676976
samueleaton;530;893;531;0.003766478342749529
splattael;1396;1;1.0
joshbuker;1380;1;1.0
soveran;1377;1;1.0
songjiayang;3;1290;4;0.5
barisbalic;1165;1;1.0
TheLonelyGhost;1224;1;1.0
rdp;11;1061;12;0.16666666666666666
Sija;230;187;142;5;2;128;246;485;365;1427;0.00700770847932726
zatherz;931;2;1.0
donovanglover;738;1;1.0
bcardiff;87;7;550;2;8;4;8;43;13;8;2;2;15;2;13;7;7;11;170;29;2;15;419;1010;0.026732673267326732
faustinoaq;86;589;87;0.022988505747126436
straight-shoota;86;111;4;40;50;170;61;80;6;51;13;15;7;31;7;148;25;4;8;24;8;13;20;3;29;4;10;61;15;3;2;81;12;2;56;21;31;60;31;137;93;15;15;12;75;50;33;18;4;1281;1864;0.03111587982832618
oz;47;417;48;0.041666666666666664
RX14;409;51;76;461;0.006507592190889371
skinnyjames;1222;1;1.0
devnote-dev;1107;1;1.0
Blacksmoke16;658;1088;659;0.0030349013657056147
renovate[bot];1017;1;1.0
hovsater;994;1;1.0
beta-ziliani;271;263;989;535;0.005607476635514018
MistressRemilia;313;965;314;0.006369426751592357
mjoerussell;958;1;1.0
carlhoerberg;770;1;1.0
dinko-pehar;743;1;1.0
m-o-e;722;1;1.0
masukomi;732;716;733;0.002728512960436562
matthewmcgarvey;680;1;1.0
lzap;636;1;1.0
syeopite;577;1;1.0
szabgab;9;506;10;0.2
oprypin;56;142;446;199;0.01507537688442211
elebow;4;444;5;0.4
kachick;433;1;1.0
kimburgess;63;427;64;0.03125
stakach;379;1;1.0
f-fr;3;357;5;0.6
j8r;334;1;1.0
fudanchii;323;1;1.0
kojix2;234;1;1.0
waj;32;16;3;2;9;3;3;3;7;4;8;3;4;3;11;55;3;4;202;180;0.1388888888888889
lugia-kun;161;1;1.0
repomaa;1714;111;1715;0.0011661807580174927
anatol;109;1;1.0
jwaldrip;106;1;1.0
Darwinnn;98;1;1.0
jgaskins;94;1;1.0
kalafut;9;14;10;0.2
jelly;1;1.0
denolfe;99;1;1.0
jkthorne;253;1;1.0
Thellior;461;1;1.0
conradwt;570;1;1.0
Willamin;630;1;1.0
jirutka;659;1;1.0
nedpals;696;1;1.0
lukeholder;758;1;1.0
mverzilli;221;3;875;225;0.013333333333333334
tomas;1150;1;1.0
tbrand;1156;1;1.0
jwoertink;1255;1;1.0
ScotterC;1527;1;1.0
mrackwitz;1534;1;1.0
adlerhsieh;27;1550;28;0.07142857142857142
howdoicomputer;1579;1;1.0
